subject	object	count	list
Disease	Gene	13	['BioLink API', 'BioThings DISEASES API', 'BioThings EBIgene2phenotype API', 'BioThings MGIgene2phenotype API', 'BioThings PFOCR API', 'BioThings RARe-SOURCE API', 'BioThings SEMMEDDB API', 'CTD API', 'Multiomics BigGIM-DrugResponse KP API', 'MyDisease.info API', 'MyGene.info API', 'MyVariant.info API', 'Text Mining Targeted Association API']
Gene	Disease	12	['BioLink API', 'BioThings DISEASES API', 'BioThings EBIgene2phenotype API', 'BioThings MGIgene2phenotype API', 'BioThings PFOCR API', 'BioThings RARe-SOURCE API', 'BioThings SEMMEDDB API', 'Multiomics BigGIM-DrugResponse KP API', 'MyDisease.info API', 'MyGene.info API', 'MyVariant.info API', 'Text Mining Targeted Association API']
Disease	SmallMolecule	9	['BioThings GTRx API', 'BioThings IDISK API', 'BioThings PFOCR API', 'BioThings SEMMEDDB API', 'CTD API', 'Multiomics EHR Risk KP API', 'MyChem.info API', 'MyDisease.info API', 'Text Mining Targeted Association API']
SmallMolecule	Gene	8	['BioThings BindingDB API', 'BioThings DGIdb API', 'BioThings PFOCR API', 'BioThings SEMMEDDB API', 'CTD API', 'Multiomics BigGIM-DrugResponse KP API', 'MyChem.info API', 'Text Mining Targeted Association API']
Gene	SmallMolecule	8	['BioThings BindingDB API', 'BioThings DGIdb API', 'BioThings PFOCR API', 'BioThings SEMMEDDB API', 'CTD API', 'Multiomics BigGIM-DrugResponse KP API', 'MyChem.info API', 'Text Mining Targeted Association API']
SmallMolecule	Disease	8	['BioThings GTRx API', 'BioThings IDISK API', 'BioThings PFOCR API', 'BioThings SEMMEDDB API', 'Multiomics EHR Risk KP API', 'MyChem.info API', 'MyDisease.info API', 'Text Mining Targeted Association API']
Gene	Gene	5	['BioLink API', 'BioThings SEMMEDDB API', 'Multiomics BigGIM-DrugResponse KP API', 'MyGene.info API', 'Text Mining Targeted Association API']
PhenotypicFeature	SmallMolecule	4	['BioThings IDISK API', 'BioThings SEMMEDDB API', 'Multiomics EHR Risk KP API', 'Text Mining Targeted Association API']
Disease	PhenotypicFeature	4	['BioLink API', 'BioThings SEMMEDDB API', 'Multiomics EHR Risk KP API', 'MyDisease.info API']
Gene	PhenotypicFeature	4	['BioLink API', 'BioThings MGIgene2phenotype API', 'BioThings SEMMEDDB API', 'Text Mining Targeted Association API']
