subject	object	count	list
Disease	Disease	26	['superclass_of', 'subclass_of', 'contributes_to', 'contribution_from', 'similar_to', 'has_part', 'part_of', 'causes', 'caused_by', 'associated_with', 'coexists_with', 'predisposes', 'has_predisposing_factor', 'affects', 'affected_by', 'precedes', 'preceded_by', 'exacerbates', 'is_exacerbated_by', 'manifestation_of', 'has_manifestation', 'location_of', 'located_in', 'occurs_in', 'contains_process', 'related_to']
Gene	Gene	16	['homologous_to', 'correlated_with', 'physically_interacts_with', 'genetically_interacts_with', 'negatively_correlated_with', 'positively_correlated_with', 'affects', 'affected_by', 'interacts_with', 'coexists_with', 'produces', 'produced_by', 'derives_into', 'derives_from', 'regulates', 'regulated_by']
Disease	SmallMolecule	15	['related_to', 'treated_by', 'has_contraindication', 'adverse_event_of', 'occurs_together_in_literature_with', 'associated_with', 'caused_by', 'prevented_by', 'affected_by', 'has_predisposing_factor', 'disrupted_by', 'produces', 'is_exacerbated_by', 'has_part', 'contribution_from']
Gene	SmallMolecule	15	['related_to', 'interacts_with', 'physically_interacts_with', 'occurs_together_in_literature_with', 'affected_by', 'correlated_with', 'associated_with_sensitivity_to', 'associated_with_resistance_to', 'target_for', 'produces', 'coexists_with', 'affects', 'has_part', 'derives_from', 'derives_into']
PathologicalProcess	Disease	15	['coexists_with', 'caused_by', 'causes', 'affected_by', 'has_predisposing_factor', 'preceded_by', 'predisposes', 'affects', 'precedes', 'exacerbates', 'has_manifestation', 'manifestation_of', 'is_exacerbated_by', 'contains_process', 'related_to']
Disease	PathologicalProcess	15	['coexists_with', 'causes', 'caused_by', 'affects', 'predisposes', 'precedes', 'has_predisposing_factor', 'affected_by', 'preceded_by', 'is_exacerbated_by', 'manifestation_of', 'has_manifestation', 'exacerbates', 'occurs_in', 'related_to']
SmallMolecule	Gene	15	['related_to', 'interacts_with', 'affects', 'physically_interacts_with', 'occurs_together_in_literature_with', 'correlated_with', 'sensitivity_associated_with', 'resistance_associated_with', 'has_target', 'produced_by', 'coexists_with', 'affected_by', 'part_of', 'derives_into', 'derives_from']
SmallMolecule	Disease	15	['related_to', 'treats', 'contraindicated_for', 'has_adverse_event', 'occurs_together_in_literature_with', 'associated_with', 'causes', 'prevents', 'affects', 'predisposes', 'disrupts', 'produced_by', 'exacerbates', 'part_of', 'contributes_to']
Disease	Gene	13	['related_to', 'condition_associated_with_gene', 'affected_by', 'occurs_together_in_literature_with', 'has_biomarker', 'has_part', 'caused_by', 'has_predisposing_factor', 'disrupted_by', 'produces', 'prevented_by', 'treated_by', 'contribution_from']
Gene	Disease	13	['gene_associated_with_condition', 'affects', 'related_to', 'occurs_together_in_literature_with', 'biomarker_for', 'part_of', 'causes', 'predisposes', 'disrupts', 'produced_by', 'prevents', 'treats', 'contributes_to']
SmallMolecule	SmallMolecule	12	['interacts_with', 'correlated_with', 'related_to', 'coexists_with', 'affects', 'affected_by', 'derives_into', 'derives_from', 'part_of', 'has_part', 'produces', 'produced_by']
PathologicalProcess	PathologicalProcess	11	['coexists_with', 'causes', 'caused_by', 'affects', 'affected_by', 'precedes', 'preceded_by', 'manifestation_of', 'has_manifestation', 'exacerbates', 'is_exacerbated_by']
SmallMolecule	PhenotypicFeature	10	['has_adverse_event', 'associated_with', 'treats', 'causes', 'prevents', 'affects', 'disrupts', 'related_to', 'predisposes', 'contributes_to']
Polypeptide	Disease	10	['related_to', 'causes', 'affects', 'predisposes', 'produced_by', 'disrupts', 'treats', 'prevents', 'part_of', 'exacerbates']
Polypeptide	Polypeptide	10	['interacts_with', 'affects', 'affected_by', 'coexists_with', 'produces', 'produced_by', 'part_of', 'has_part', 'derives_into', 'derives_from']
PhenotypicFeature	SmallMolecule	10	['adverse_event_of', 'associated_with', 'treated_by', 'caused_by', 'prevented_by', 'affected_by', 'disrupted_by', 'related_to', 'has_predisposing_factor', 'contribution_from']
